,signature,target
298,REP.A028_YAPC_24H:L21,BRD-A96292436
299,REP.A028_A375_24H:L22,BRD-A96292436
300,REP.A028_YAPC_24H:L22,BRD-A96292436
301,REP.A028_YAPC_24H:L19,BRD-A96292436
302,REP.A028_YAPC_24H:L23,BRD-A96292436
303,REP.A028_PC3_24H:L19,BRD-A96292436
304,REP.A028_A375_24H:L20,BRD-A96292436
305,REP.A028_HT29_24H:L19,BRD-A96292436
306,REP.A028_MCF7_24H:L19,BRD-A96292436
307,REP.A028_MCF7_24H:L20,BRD-A96292436
308,REP.A028_MCF7_24H:L21,BRD-A96292436
309,REP.A028_MCF7_24H:L22,BRD-A96292436
310,REP.A028_MCF7_24H:L23,BRD-A96292436
311,REP.A028_MCF7_24H:L24,BRD-A96292436
312,REP.A028_HA1E_24H:L24,BRD-A96292436
313,REP.A028_A375_24H:L21,BRD-A96292436
314,REP.A028_HA1E_24H:L23,BRD-A96292436
315,REP.A028_HA1E_24H:L21,BRD-A96292436
316,REP.A028_HA1E_24H:L20,BRD-A96292436
317,REP.A028_PC3_24H:L24,BRD-A96292436
318,REP.A028_PC3_24H:L23,BRD-A96292436
319,REP.A028_PC3_24H:L22,BRD-A96292436
320,REP.A028_PC3_24H:L21,BRD-A96292436
321,REP.A028_PC3_24H:L20,BRD-A96292436
322,REP.A028_HA1E_24H:L19,BRD-A96292436
323,REP.A028_HA1E_24H:L22,BRD-A96292436
324,REP.A028_HT29_24H:L21,BRD-A96292436
325,REP.A028_HT29_24H:L20,BRD-A96292436
326,REP.A028_HELA_24H:L23,BRD-A96292436
327,REP.A028_HT29_24H:L22,BRD-A96292436
328,REP.A028_HT29_24H:L23,BRD-A96292436
329,REP.A028_HT29_24H:L24,BRD-A96292436
330,REP.A028_A375_24H:L19,BRD-A96292436
331,REP.A028_HELA_24H:L24,BRD-A96292436
332,REP.A028_HELA_24H:L19,BRD-A96292436
333,REP.A028_HELA_24H:L22,BRD-A96292436
334,REP.A028_HELA_24H:L21,BRD-A96292436
335,REP.A028_HELA_24H:L20,BRD-A96292436
336,REP.A017_PC3_24H:G07,BRD-K63550407
337,REP.A017_HT29_24H:G07,BRD-K63550407
338,REP.A017_YAPC_24H:G10,BRD-K63550407
339,REP.A017_YAPC_24H:G11,BRD-K63550407
340,REP.A017_YAPC_24H:G12,BRD-K63550407
341,REP.A017_PC3_24H:G10,BRD-K63550407
342,REP.A017_HA1E_24H:G08,BRD-K63550407
343,REP.A017_HT29_24H:G08,BRD-K63550407
344,REP.A017_PC3_24H:G08,BRD-K63550407
345,REP.A017_MCF7_24H:G07,BRD-K63550407
346,REP.A017_MCF7_24H:G08,BRD-K63550407
347,REP.A017_MCF7_24H:G11,BRD-K63550407
348,REP.A017_HA1E_24H:G07,BRD-K63550407
349,REP.A017_HT29_24H:G12,BRD-K63550407
350,REP.A017_MCF7_24H:G09,BRD-K63550407
351,REP.A017_MCF7_24H:G10,BRD-K63550407
352,REP.A017_PC3_24H:G09,BRD-K63550407
353,REP.A017_A375_24H:G12,BRD-K63550407
354,REP.A017_MCF7_24H:G12,BRD-K63550407
355,REP.A017_PC3_24H:G12,BRD-K63550407
356,REP.A017_HELA_24H:G07,BRD-K63550407
357,REP.A017_HELA_24H:G08,BRD-K63550407
358,REP.A017_HA1E_24H:G12,BRD-K63550407
359,REP.A017_HA1E_24H:G11,BRD-K63550407
360,REP.A017_HT29_24H:G11,BRD-K63550407
361,REP.A017_HT29_24H:G10,BRD-K63550407
362,REP.A017_A375_24H:G11,BRD-K63550407
363,REP.A017_HELA_24H:G09,BRD-K63550407
364,REP.A017_HELA_24H:G10,BRD-K63550407
365,REP.A017_HT29_24H:G09,BRD-K63550407
366,REP.A017_PC3_24H:G11,BRD-K63550407
367,REP.A017_HELA_24H:G11,BRD-K63550407
368,REP.A017_HA1E_24H:G10,BRD-K63550407
369,REP.A017_HA1E_24H:G09,BRD-K63550407
370,REP.A017_A375_24H:G09,BRD-K63550407
371,REP.A017_HELA_24H:G12,BRD-K63550407
372,REP.A017_YAPC_24H:G07,BRD-K63550407
373,REP.A017_YAPC_24H:G08,BRD-K63550407
374,REP.A017_YAPC_24H:G09,BRD-K63550407
375,REP.A017_A375_24H:G08,BRD-K63550407
376,REP.A017_A375_24H:G07,BRD-K63550407
377,REP.A017_A375_24H:G10,BRD-K63550407
378,REP.A017_PC3_24H:G07,BRD-K63550407
379,REP.A017_HT29_24H:G07,BRD-K63550407
380,REP.A017_YAPC_24H:G10,BRD-K63550407
381,REP.A017_YAPC_24H:G11,BRD-K63550407
382,REP.A017_YAPC_24H:G12,BRD-K63550407
383,REP.A017_PC3_24H:G10,BRD-K63550407
384,REP.A017_HA1E_24H:G08,BRD-K63550407
385,REP.A017_HT29_24H:G08,BRD-K63550407
386,REP.A017_PC3_24H:G08,BRD-K63550407
387,REP.A017_MCF7_24H:G07,BRD-K63550407
388,REP.A017_MCF7_24H:G08,BRD-K63550407
389,REP.A017_MCF7_24H:G11,BRD-K63550407
390,REP.A017_HA1E_24H:G07,BRD-K63550407
391,REP.A017_HT29_24H:G12,BRD-K63550407
392,REP.A017_MCF7_24H:G09,BRD-K63550407
393,REP.A017_MCF7_24H:G10,BRD-K63550407
394,REP.A017_PC3_24H:G09,BRD-K63550407
395,REP.A017_A375_24H:G12,BRD-K63550407
396,REP.A017_MCF7_24H:G12,BRD-K63550407
397,REP.A017_PC3_24H:G12,BRD-K63550407
398,REP.A017_HELA_24H:G07,BRD-K63550407
399,REP.A017_HELA_24H:G08,BRD-K63550407
400,REP.A017_HA1E_24H:G12,BRD-K63550407
401,REP.A017_HA1E_24H:G11,BRD-K63550407
402,REP.A017_HT29_24H:G11,BRD-K63550407
403,REP.A017_HT29_24H:G10,BRD-K63550407
404,REP.A017_A375_24H:G11,BRD-K63550407
405,REP.A017_HELA_24H:G09,BRD-K63550407
406,REP.A017_HELA_24H:G10,BRD-K63550407
407,REP.A017_HT29_24H:G09,BRD-K63550407
408,REP.A017_PC3_24H:G11,BRD-K63550407
409,REP.A017_HELA_24H:G11,BRD-K63550407
410,REP.A017_HA1E_24H:G10,BRD-K63550407
411,REP.A017_HA1E_24H:G09,BRD-K63550407
412,REP.A017_A375_24H:G09,BRD-K63550407
413,REP.A017_HELA_24H:G12,BRD-K63550407
414,REP.A017_YAPC_24H:G07,BRD-K63550407
415,REP.A017_YAPC_24H:G08,BRD-K63550407
416,REP.A017_YAPC_24H:G09,BRD-K63550407
417,REP.A017_A375_24H:G08,BRD-K63550407
418,REP.A017_A375_24H:G07,BRD-K63550407
419,REP.A017_A375_24H:G10,BRD-K63550407
420,REP.A017_PC3_24H:G07,BRD-K63550407
421,REP.A017_HT29_24H:G07,BRD-K63550407
422,REP.A017_YAPC_24H:G10,BRD-K63550407
423,REP.A017_YAPC_24H:G11,BRD-K63550407
424,REP.A017_YAPC_24H:G12,BRD-K63550407
425,REP.A017_PC3_24H:G10,BRD-K63550407
426,REP.A017_HA1E_24H:G08,BRD-K63550407
427,REP.A017_HT29_24H:G08,BRD-K63550407
428,REP.A017_PC3_24H:G08,BRD-K63550407
429,REP.A017_MCF7_24H:G07,BRD-K63550407
430,REP.A017_MCF7_24H:G08,BRD-K63550407
431,REP.A017_MCF7_24H:G11,BRD-K63550407
432,REP.A017_HA1E_24H:G07,BRD-K63550407
433,REP.A017_HT29_24H:G12,BRD-K63550407
434,REP.A017_MCF7_24H:G09,BRD-K63550407
435,REP.A017_MCF7_24H:G10,BRD-K63550407
436,REP.A017_PC3_24H:G09,BRD-K63550407
437,REP.A017_A375_24H:G12,BRD-K63550407
438,REP.A017_MCF7_24H:G12,BRD-K63550407
439,REP.A017_PC3_24H:G12,BRD-K63550407
440,REP.A017_HELA_24H:G07,BRD-K63550407
441,REP.A017_HELA_24H:G08,BRD-K63550407
442,REP.A017_HA1E_24H:G12,BRD-K63550407
443,REP.A017_HA1E_24H:G11,BRD-K63550407
444,REP.A017_HT29_24H:G11,BRD-K63550407
445,REP.A017_HT29_24H:G10,BRD-K63550407
446,REP.A017_A375_24H:G11,BRD-K63550407
447,REP.A017_HELA_24H:G09,BRD-K63550407
448,REP.A017_HELA_24H:G10,BRD-K63550407
449,REP.A017_HT29_24H:G09,BRD-K63550407
450,REP.A017_PC3_24H:G11,BRD-K63550407
451,REP.A017_HELA_24H:G11,BRD-K63550407
452,REP.A017_HA1E_24H:G10,BRD-K63550407
453,REP.A017_HA1E_24H:G09,BRD-K63550407
454,REP.A017_A375_24H:G09,BRD-K63550407
455,REP.A017_HELA_24H:G12,BRD-K63550407
456,REP.A017_YAPC_24H:G07,BRD-K63550407
457,REP.A017_YAPC_24H:G08,BRD-K63550407
458,REP.A017_YAPC_24H:G09,BRD-K63550407
459,REP.A017_A375_24H:G08,BRD-K63550407
460,REP.A017_A375_24H:G07,BRD-K63550407
461,REP.A017_A375_24H:G10,BRD-K63550407
462,REP.A017_MCF7_24H:M24,BRD-K62737565
463,REP.A017_YAPC_24H:M19,BRD-K62737565
464,REP.A017_YAPC_24H:M21,BRD-K62737565
465,REP.A017_MCF7_24H:M21,BRD-K62737565
466,REP.A017_A375_24H:M24,BRD-K62737565
467,REP.A017_A375_24H:M23,BRD-K62737565
468,REP.A017_A375_24H:M22,BRD-K62737565
469,REP.A017_A375_24H:M21,BRD-K62737565
470,REP.A017_A375_24H:M20,BRD-K62737565
471,REP.A017_A375_24H:M19,BRD-K62737565
472,REP.A017_YAPC_24H:M22,BRD-K62737565
473,REP.A017_YAPC_24H:M23,BRD-K62737565
474,REP.A017_MCF7_24H:M22,BRD-K62737565
475,REP.A017_MCF7_24H:M23,BRD-K62737565
476,REP.A017_YAPC_24H:M24,BRD-K62737565
477,REP.A017_MCF7_24H:M19,BRD-K62737565
478,REP.A017_MCF7_24H:M20,BRD-K62737565
479,REP.A017_HA1E_24H:M24,BRD-K62737565
480,REP.A017_PC3_24H:M23,BRD-K62737565
481,REP.A017_PC3_24H:M22,BRD-K62737565
482,REP.A017_PC3_24H:M21,BRD-K62737565
483,REP.A017_PC3_24H:M20,BRD-K62737565
484,REP.A017_HA1E_24H:M23,BRD-K62737565
485,REP.A017_HA1E_24H:M22,BRD-K62737565
486,REP.A017_PC3_24H:M24,BRD-K62737565
487,REP.A017_PC3_24H:M19,BRD-K62737565
488,REP.A017_HA1E_24H:M20,BRD-K62737565
489,REP.A017_HA1E_24H:M19,BRD-K62737565
490,REP.A017_HT29_24H:M19,BRD-K62737565
491,REP.A017_HT29_24H:M20,BRD-K62737565
492,REP.A017_HT29_24H:M21,BRD-K62737565
493,REP.A017_HT29_24H:M22,BRD-K62737565
494,REP.A017_HA1E_24H:M21,BRD-K62737565
495,REP.A017_HT29_24H:M23,BRD-K62737565
496,REP.A017_HT29_24H:M24,BRD-K62737565
497,REP.A017_YAPC_24H:M20,BRD-K62737565
498,REP.A017_HELA_24H:M24,BRD-K62737565
499,REP.A017_HELA_24H:M23,BRD-K62737565
500,REP.A017_HELA_24H:M22,BRD-K62737565
501,REP.A017_HELA_24H:M21,BRD-K62737565
502,REP.A017_HELA_24H:M20,BRD-K62737565
503,REP.A017_HELA_24H:M19,BRD-K62737565
504,REP.A016_A375_24H:C18,BRD-K51747290
505,REP.A016_MCF7_24H:C16,BRD-K51747290
506,REP.A016_MCF7_24H:C17,BRD-K51747290
507,REP.A016_MCF7_24H:C15,BRD-K51747290
508,REP.A016_MCF7_24H:C14,BRD-K51747290
509,REP.A016_MCF7_24H:C13,BRD-K51747290
510,REP.A016_A375_24H:C17,BRD-K51747290
511,REP.A016_YAPC_24H:C16,BRD-K51747290
