,smiles,name,id,inchi_key,atc
11461,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,dirithromycin,BRD-K52756523,WLOHNSSYAXHWNR-DWIOZXRMSA-N,J01FA13
11776,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,captopril,BRD-K54529596,FAKRSMQSSFJEIM-RQJHMYQMSA-N,C09AA01
12314,NC(=N)NC(=N)N1CCOCC1,moroxydine,BRD-K57291914,KJHOZAZQWVKILO-UHFFFAOYSA-N,J05AX01
12607,CC(=O)N[C@@H](CS)C(O)=O,acetylcysteine,BRD-K59058747,PWKSKIMOESPYIA-BYPYZUCNSA-N,R05CB01
13316,NCC1(CC(O)=O)CCCCC1,gabapentin,BRD-K62737565,UGJMXCAKCUNAIE-UHFFFAOYSA-N,N03AX12
13441,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,orlistat,BRD-K63343048,AHLBNYSZXLDEJQ-FWEHEUNISA-N,A08AB01
13490,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,erythromycin,BRD-K63550407,ULGZDMOVFRHVEP-RWJQBGPGSA-N,J01FA01
14647,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,tacrolimus,BRD-K69608737,QJJXYPPXXYFBGM-LFZNUXCKSA-N,D11AH01
14777,NC12CC3CC(CC(C3)C1)C2,amantadine,BRD-K70330367,DKNWSYNQZKUICI-UHFFFAOYSA-N,N04BB01
14986,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,butalbital,BRD-K71350836,UZVHFVZFNXBMQJ-UHFFFAOYSA-N,N05CB01
15465,NCCCNCCSP(O)(O)=O,amifostine,BRD-K73947551,JKOQGQFVAUAYPM-UHFFFAOYSA-N,V03AF05
15574,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,azithromycin,BRD-K74501079,MQTOSJVFKKJCRP-BICOPXKESA-N,J01RA07
16542,CN(C)C(=N)NC(N)=N,metformin,BRD-K79602928,XZWYZXLIPXDOLR-UHFFFAOYSA-N,A10BD23
17052,CC(=O)OCC[N+](C)(C)C,acetylcholine,BRD-K82381502,OIPILFWXSMYKGL-UHFFFAOYSA-N,S01EB09
18104,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,amikacin,BRD-K88043978,LKCWBDHBTVXHDL-RMDFUYIESA-N,S01AA21
20373,CC(=O)NCCCS(O)(=O)=O,acamprosate,BRD-M41783010,AFCGFAGUEYAMAO-UHFFFAOYSA-N,N07BB03
51383,CC1CS(=O)(=O)CCN1N=CC1CCC(O1)[N+]([O-])=O,nifurtimox,BRD-A00100033,ARFHIAQFJWUCFH-UHFFFAOYSA-N,P01CC01
51384,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1CCCCC1,biperiden,BRD-A00546892,YSXKPIUOCJLQIE-UHFFFAOYSA-N,N04AA02
51385,CC(C)NCC(O)COC1CCCCC1CC=C,alprenolol,BRD-A00993607,PAZJSJFMUHDSTF-UHFFFAOYSA-N,C07AA01
51386,OCC1CC(CCC1O)C(O)CNCCCCCCOCCCCC1CCCCC1,salmeterol,BRD-A01320529,GIIZNNXWQWCKIB-UHFFFAOYSA-N,R03AC12
51387,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,flumetasone,BRD-A01346607,WXURHACBFYSXBI-DRBBXQFKSA-N,D07XB01
51388,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,flumetasone,BRD-A01346607,WXURHACBFYSXBI-DRBBXQFKSA-N,D07AB03
51389,CCCCN1CCCCC1C(=O)NC1C(C)CCCC1C,bupivacaine,BRD-A01636364,LEBVLXFERQHONN-UHFFFAOYSA-N,N01BB01
51390,CCOC(=O)C1=C(C)NC(C)=C(C1C1CCCC(C1)[N+]([O-])=O)C(=O)OC,nitrendipine,BRD-A02006392,PVHUJELLJLJGLN-UHFFFAOYSA-N,C08CA08
51391,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,D07AC01
51392,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S01CB04
51393,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S02BA07
51394,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,D07XC01
51395,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,H02AB01
51396,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,R01AD06
51397,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S01BA06
51398,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,S03BA03
51399,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,A07EA04
51400,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,C05AA05
51401,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,betamethasone,BRD-A02180903,UREBDLICKHMUKA-REKGUKDCSA-N,R03BA04
51402,COC1CC(CC(OC)C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2C1=CC1=C2OCO1,etoposide,BRD-A02579693,DOXHGVQIEQIIIV-UHFFFAOYSA-N,L01CB01
51403,CCC1(CCCCN(C)C1)C1CCCC(O)C1,meptazinol,BRD-A02710418,JLICHNCFTLFZJN-UHFFFAOYSA-N,N02AX05
51404,CC(C)NCC(O)COC1CCC(CCOCC2CC2)CC1,betaxolol,BRD-A02759312,NWIUTZDMDHAVTP-UHFFFAOYSA-N,C07AB05
51405,CC(C)NCC(O)COC1CCC(CCOCC2CC2)CC1,betaxolol,BRD-A02759312,NWIUTZDMDHAVTP-UHFFFAOYSA-N,S01ED02
51406,CC(OC1C(CL)CCCC1CL)C1=NCCN1,lofexidine,BRD-A02990301,KSMAGQUYOIHWFS-UHFFFAOYSA-N,N07BC04
51407,COC1CC2[NH]NNC2CC1C(=O)NCC1CCCN1CC=C,alizapride,BRD-A03061970,KSEYRUGYKHXGFW-UHFFFAOYSA-N,A03FA05
51408,CN1CCCCC1C(=O)NC1C(C)CCCC1C,mepivacaine,BRD-A03216249,INWLQCZOYSRPNW-UHFFFAOYSA-N,N01BB03
51409,CC(C)C(NC(=O)N(C)CC1CSC(N1)C(C)C)C(=O)NC(CC(O)C(CC1CCCCC1)NC(=O)OCC1CNCS1)CC1CCCCC1,ritonavir,BRD-A03323675,NCDNCNXCDXHOMX-UHFFFAOYSA-N,J05AE03
51410,CC1=C(CC(=O)O)C2CC(F)CCC2C1=CC3CCC(CC3)S(=O)C,sulindac,BRD-A03427350,MLKXDPUZXIRXEP-UHFFFAOYSA-N,M01AB02
51411,COCCC1CCC(OCC(O)CNC(C)C)CC1,metoprolol,BRD-A03623303,IUBSYMUCCVWXPE-UHFFFAOYSA-N,C07AB02
51412,CC(C)C1NNC(C)N1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1CCCCC1,maraviroc,BRD-A04352665,GSNHKUDZZFZSJB-ILVMPNSOSA-N,J05AX09
51413,CN(C)CCC(C1CCC(CL)CC1)C1CCCCN1,chlorphenamine,BRD-A04553218,SOYKEARSMXGVTM-UHFFFAOYSA-N,R06AB04
51414,CCCC(=O)NC1NCNC2N(CNC12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC,bucladesine,BRD-A04706586,CJGYSWNGNKCJSB-UHFFFAOYSA-N,C01CE04
51415,CC(NC(C)(C)C)C(=O)C1CCCC(CL)C1,bupropion,BRD-A05186015,SNPPWIUOZRMYNY-UHFFFAOYSA-N,N06AX12
51416,CC(C)(C)C1CCC(CC1)C(O)CCCN1CCC(CC1)C(O)(C1CCCCC1)C1CCCCC1,terfenadine,BRD-A06352418,GUGOEEXESWIERI-UHFFFAOYSA-N,R06AX12
51417,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)C1CCNC2CCC(OC)CC12,hydroquinidine,BRD-A06390036,LJOQGZACKSYWCH-NBGVHYBESA-N,C01BA13
51418,NC(CC1C[NH]C2CCCCC12)C(=O)O,tryptophan,BRD-A07106394,QIVBCDIJIAJPQS-UHFFFAOYSA-N,N06AX02
51419,COC(=O)CCC1CCC(OCC(O)CNC(C)C)CC1,esmolol,BRD-A07395371,AQNDDEOPVVGCPG-UHFFFAOYSA-N,C07AB09
51420,CC(CCC1CCCCC1)NCC(O)C1CCC(O)C(C1)C(N)=O,labetalol,BRD-A07440155,SGUAFYQXFOLMHL-UHFFFAOYSA-N,C07AG01
51421,CC(C)NCC(O)C1CC(O)CC(O)C1,orciprenaline,BRD-A07780951,LMOINURANNBYCM-UHFFFAOYSA-N,R03AB03
51422,CC(C)NCC(O)C1CC(O)CC(O)C1,orciprenaline,BRD-A07780951,LMOINURANNBYCM-UHFFFAOYSA-N,R03CB03
51423,COCCOC(=O)C1=C(C)NC(=C(C1C2CCCC(C2)[N+](=O)[O-])C(=O)OCC=CC3CCCCC3)C,cilnidipine,BRD-A07875874,KJEBULYHNRNJTE-UHFFFAOYSA-N,C08CA14
51424,CC(=O)SCC(CC1CCCCC1)C(=O)NCC(=O)OCC1CCCCC1,racecadotril,BRD-A08187463,ODUOJXZPIYUATO-UHFFFAOYSA-N,A07XA04
51425,NC(CC1CCC(CC1)N(CCCL)CCCL)C(O)=O,melphalan,BRD-A08200164,SGDBTWWWUNNDEQ-UHFFFAOYSA-N,L01AA03
51426,CC(=O)N(CC(O)CN(C(C)=O)C1C(I)C(C(=O)NCC(O)CO)C(I)C(C(=O)NCC(O)CO)C1I)C1C(I)C(C(=O)NCC(O)CO)C(I)C(C(=O)NCC(O)CO)C1I,iodixanol,BRD-A08660406,NBQNWMBBSKPBAY-UHFFFAOYSA-N,V08AB09
51427,COC1CC2NC(NC(N)C2CC1OC)N(C)CCCNC(=O)C1CCCO1,alfuzosin,BRD-A09056319,WNMJYKCGWZFFKR-UHFFFAOYSA-N,G04CA01
51428,CN(C)CCC[N+]1([O-])C2CCCCC2SC2CCC(CL)CC12,chlorpromazine,BRD-A09073503,SUQUPCVMBMERJG-UHFFFAOYSA-N,N05AA01
51429,CCN(CCCCOC(=O)C1CCC(OC)C(OC)C1)C(C)CC1CCC(OC)CC1,mebeverine,BRD-A09467419,VYVKHNNGDFVQGA-UHFFFAOYSA-N,A03AA04
51430,FC(F)(F)COC1CCC(OCC(F)(F)F)C(C1)C(=O)NCC1CCCCN1,flecainide,BRD-A09472452,DJBNUMBKLMJRSA-UHFFFAOYSA-N,C01BC04
51431,COC1CCC(CCN(C)CCCC(C#N)(C(C)C)C2CCC(OC)C(OC)C2)CC1OC,verapamil,BRD-A09533288,SGTNSNPWRIOYBX-UHFFFAOYSA-N,C08DA01
51432,CN1C2CC[C@H]1C[C@H](C2)OC(=O)C(O)C1CCCCC1,homatropine,BRD-A09539288,ZTVIKZXZYLEVOL-FGZQJIAISA-N,S01FA05
51433,CLCCN(CCCL)P1(=O)NCCCO1,cyclophosphamide,BRD-A09722536,CMSMOCZEIVJLDB-UHFFFAOYSA-N,L01AA01
51434,CCNCC(O)C1CCCC(O)C1,etilefrine,BRD-A09925278,SQVIAVUSQAWMKL-UHFFFAOYSA-N,C01CA01
51435,CC(C)NCC(O)COC1CCCC2CCCCC12,propranolol,BRD-A10070317,AQHHHDLHHXJYJD-UHFFFAOYSA-N,C07AA05
51436,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,D07AB19
51437,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,C05AA09
51438,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,H02AB02
51439,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,S01BA01
51440,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,D10AA03
51441,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,S03BA01
51442,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,D07XB05
51443,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,S02BA06
51444,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,S01CB01
51445,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,R01AD03
51446,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone,BRD-A10188456,UREBDLICKHMUKA-QCYOSJOCSA-N,A01AC02
51447,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3CCCCC3)C(=O)N2[C@H]1C(=O)OC4OC(=O)C5CCCCC45,talampicillin,BRD-A10303790,SOROUYSPFADXSN-SUWVAFIASA-N,J01CA15
51448,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)C3CCCCC3)C(=O)N2[C@H]1C(=O)OC1OC(=O)C2CCCCC12,talampicillin,BRD-A10606614,SOROUYSPFADXSN-NXTKQQBESA-N,J01CA15
51449,CC(CC1CCCCC1)NCCC(C1CCCCC1)C1CCCCC1,prenylamine,BRD-A10662413,IFFPICMESYHZPQ-UHFFFAOYSA-N,C01DX02
51450,CCN1CCC(CNC(=O)C2CC(CCC2OC)S(=O)(=O)N)C1,sulpiride,BRD-A10715913,IAGQNKXBDXVWPR-UHFFFAOYSA-N,N05AL01
51451,COC1CCCCC1OCCNCC(O)COC1CCCC2[NH]C3CCCCC3C12,carvedilol,BRD-A10977446,OGHNVEJMJSYVRP-UHFFFAOYSA-N,C07AG02
51452,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12,pravastatin,BRD-A11170096,TUZYXOIXSAXUGO-UHFFFAOYSA-N,C10AA03
51453,NC1NCN(C2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,azacitidine,BRD-A11263757,NMUSYJAQQFHJEW-JDJSBBGDSA-N,L01BC07
51454,COC1C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC3CCC(NC(=O)C)C4CC(=O)C(SC)CCC4-C3C1OC,thiocolchicoside,BRD-A11605036,LEQAKWQJCITZNK-MSQQGMGVSA-N,M03BX05
51455,OC1N=C(C2CCCCC2CL)C2CC(CL)CCC2NC1=O,lorazepam,BRD-A11990600,DIWRORZWFLOCLC-UHFFFAOYSA-N,N05BA06
51456,CCOC(=O)C1C(C(=C(C)N=C1C)C(=O)OC)C2CCCC(C2)[N+](=O)[O-],nitrendipine,BRD-A12560204,NDYAXPIAEFCPMJ-UHFFFAOYSA-N,C08CA08
51457,CC1C(C)C2OC(C)(COC3CCC(CC4SC(=O)NC4=O)CC3)CCC2C(C)C1O,troglitazone,BRD-A13084692,GXPHKUHSUJUWKP-UHFFFAOYSA-N,A10BG01
51458,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,fluorometholone,BRD-A13133631,FAOZLTXFLGPHNG-KXWDGVDDSA-N,D10AA01
51459,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,fluorometholone,BRD-A13133631,FAOZLTXFLGPHNG-KXWDGVDDSA-N,S01BA07
51460,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,fluorometholone,BRD-A13133631,FAOZLTXFLGPHNG-KXWDGVDDSA-N,C05AA06
51461,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,fluorometholone,BRD-A13133631,FAOZLTXFLGPHNG-KXWDGVDDSA-N,S01CB05
51462,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,fluorometholone,BRD-A13133631,FAOZLTXFLGPHNG-KXWDGVDDSA-N,D07XB04
51463,C[C@H]1CC2C3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)C2(C)C=CC(=O)C=C12,fluorometholone,BRD-A13133631,FAOZLTXFLGPHNG-KXWDGVDDSA-N,D07AB06
51464,COC1CC2NC(NC(N)C2CC1OC)N1CCN(CC1)C(=O)C1COC2CCCCC2O1,doxazosin,BRD-A13188892,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,C02CA04
51465,CC1ONC(C1C(=O)N[C@H]1[C@H]2SC(C)(C)C(N2C1=O)C(O)=O)-C1C(F)CCCC1CL,flucloxacillin,BRD-A13650332,UIOFUWFRIANQPC-SNVMCYLTSA-N,J01CF05
51466,OCC=C1C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1C1=CN2C5C(=CN(C31)C1CCCCC41)[C@@H]1C[C@@H]3[C@@]5(CC[N@@+]3(CC=C)CC1=CCO)C1CCCCC21,alcuronium,BRD-A13711138,MUQUYTSLDVKIOF-HSAMFLANSA-N,M03AA01
51467,CC1=C(CC(O)=O)C2CC(F)CCC2C\1=C/C1CCC(CC1)S(C)=O,sulindac,BRD-A13946108,MLKXDPUZXIRXEP-MFOYZWKCSA-N,M01AB02
51468,C[N+](C)(C)CC(O)C1CCC(O)C(O)C1,ephedrine,BRD-A13982089,KOCLPWNIIAMDIN-UHFFFAOYSA-O,S01FB02
51469,C[N+](C)(C)CC(O)C1CCC(O)C(O)C1,ephedrine,BRD-A13982089,KOCLPWNIIAMDIN-UHFFFAOYSA-O,R01AA03
51470,C[N+](C)(C)CC(O)C1CCC(O)C(O)C1,ephedrine,BRD-A13982089,KOCLPWNIIAMDIN-UHFFFAOYSA-O,R01AB05
51471,C[N+](C)(C)CC(O)C1CCC(O)C(O)C1,ephedrine,BRD-A13982089,KOCLPWNIIAMDIN-UHFFFAOYSA-O,R03CA02
51472,C[N+](C)(C)CC(O)C1CCC(O)C(O)C1,ephedrine,BRD-A13982089,KOCLPWNIIAMDIN-UHFFFAOYSA-O,C01CA26
51473,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1CCCCC1,oxyphenonium,BRD-A14208071,GFRUPHOKLBPHTQ-UHFFFAOYSA-N,A03AB03
51474,NCC(O)C1CCC(O)CC1,octopamine,BRD-A14240607,QHGUCRYDKWKLMG-UHFFFAOYSA-N,C01CA18
